,cnn_intrsctn_fkey,cnn_sgmt_fkey,ped_action,number_injured,number_killed
386,27553000,6082201.0,No Pedestrian Involved,2,0.0
387,24916000,8805000.0,No Pedestrian Involved,1,0.0
388,30705000,13143201.0,Crossing Not in Crosswalk,1,0.0
389,26049000,5073000.0,No Pedestrian Involved,1,0.0
390,50061000,179000.0,No Pedestrian Involved,1,0.0
391,23029000,,Not Stated,1,0.0
392,26796000,,No Pedestrian Involved,1,0.0
393,23517000,2028000.0,No Pedestrian Involved,1,0.0
394,25898000,13524001.0,Crossing in Crosswalk at Intersection,1,0.0
395,27105000,398000.0,No Pedestrian Involved,1,0.0
396,26190000,818000.0,No Pedestrian Involved,1,0.0
397,32859000,184101.0,Crossing Not in Crosswalk,1,0.0
398,32859000,184101.0,No Pedestrian Involved,1,0.0
399,32859000,184101.0,No Pedestrian Involved,1,0.0
400,32859000,,No Pedestrian Involved,1,0.0
401,23112000,6916000.0,Crossing in Crosswalk Not at Intersection,1,0.0
402,27489000,,No Pedestrian Involved,1,0.0
403,24644000,,No Pedestrian Involved,1,0.0
404,26050000,,No Pedestrian Involved,2,0.0
405,25220000,,No Pedestrian Involved,1,0.0
406,20078000,,No Pedestrian Involved,1,0.0
407,20504000,,No Pedestrian Involved,1,0.0
408,27258000,,No Pedestrian Involved,1,0.0
409,24924000,,No Pedestrian Involved,1,0.0
410,27449000,5921000.0,No Pedestrian Involved,1,0.0
411,26587000,,No Pedestrian Involved,1,0.0
412,26704000,,Not Stated,1,0.0
413,25175000,10553000.0,No Pedestrian Involved,1,0.0
414,27147000,432000.0,No Pedestrian Involved,1,0.0
415,26319000,9762000.0,No Pedestrian Involved,1,0.0
416,27193000,,No Pedestrian Involved,1,0.0
417,24138000,720000.0,Not Stated,1,1.0
418,27628000,10265101.0,No Pedestrian Involved,2,0.0
419,27004000,,No Pedestrian Involved,2,0.0
420,24468000,13148201.0,No Pedestrian Involved,1,0.0
421,26573000,,No Pedestrian Involved,0,0.0
422,23908000,6720000.0,No Pedestrian Involved,1,0.0
423,24749000,11228000.0,Not in Road,0,0.0
424,23589000,7832201.0,No Pedestrian Involved,1,0.0
425,22106000,9814101.0,No Pedestrian Involved,1,0.0
426,24711000,,No Pedestrian Involved,1,0.0
427,24922000,8750101.0,No Pedestrian Involved,1,0.0
428,25152000,8130000.0,No Pedestrian Involved,3,0.0
429,27046000,7988101.0,No Pedestrian Involved,1,0.0
430,30748000,,Not Stated,1,0.0
431,25835000,,Not Stated,1,0.0
432,30746000,,"In Road, Including Shoulder",1,0.0
433,26038000,12124000.0,No Pedestrian Involved,1,0.0
434,21362000,,No Pedestrian Involved,2,0.0
435,27767000,9677000.0,No Pedestrian Involved,1,0.0
436,26642000,,No Pedestrian Involved,1,0.0
437,22139000,4335000.0,Not in Road,1,0.0
438,27950000,7684000.0,Crossing Not in Crosswalk,1,0.0
439,25807000,,No Pedestrian Involved,1,0.0
440,24213000,3304000.0,No Pedestrian Involved,1,0.0
441,23963000,10669101.0,Crossing Not in Crosswalk,1,0.0
442,25898000,6606000.0,No Pedestrian Involved,1,0.0
443,20770000,11924000.0,No Pedestrian Involved,6,0.0
444,32859000,184101.0,No Pedestrian Involved,2,0.0
445,34155000,,No Pedestrian Involved,7,0.0
446,26031000,,No Pedestrian Involved,1,0.0
447,25301000,10570000.0,No Pedestrian Involved,1,0.0
448,26686000,13167101.0,Crossing Not in Crosswalk,1,0.0
449,33277000,2799207.0,No Pedestrian Involved,1,0.0
450,27083000,7282000.0,No Pedestrian Involved,1,0.0
451,27376000,7297000.0,No Pedestrian Involved,1,0.0
452,27192000,2430000.0,No Pedestrian Involved,1,0.0
453,27508000,,No Pedestrian Involved,2,0.0
454,21483000,9180000.0,No Pedestrian Involved,1,0.0
455,20066000,,No Pedestrian Involved,1,0.0
456,26044000,,Crossing in Crosswalk at Intersection,1,0.0
457,26848000,4118000.0,No Pedestrian Involved,1,0.0
458,27101000,364000.0,No Pedestrian Involved,1,0.0
459,24157000,13065000.0,No Pedestrian Involved,1,0.0
460,24459000,,No Pedestrian Involved,1,0.0
461,27524000,1647000.0,No Pedestrian Involved,1,0.0
462,26621000,,No Pedestrian Involved,1,0.0
463,25699000,,Not Stated,1,0.0
464,24176000,798000.0,No Pedestrian Involved,1,0.0
465,26205000,,No Pedestrian Involved,1,0.0
466,27250000,4153000.0,No Pedestrian Involved,1,0.0
467,25882000,,No Pedestrian Involved,1,0.0
468,25591000,,No Pedestrian Involved,1,0.0
469,24936000,,Crossing in Crosswalk at Intersection,1,0.0
470,30738000,,No Pedestrian Involved,1,0.0
471,21487000,,No Pedestrian Involved,2,0.0
472,50091000,12547201.0,No Pedestrian Involved,1,0.0
473,24484000,144000.0,No Pedestrian Involved,1,0.0
474,23797000,2953000.0,No Pedestrian Involved,1,0.0
475,22629000,9826101.0,No Pedestrian Involved,1,0.0
476,20573000,,No Pedestrian Involved,3,0.0
477,30070000,9878301.0,No Pedestrian Involved,1,0.0
478,26544000,,No Pedestrian Involved,3,0.0
479,24634000,,Not Stated,4,0.0
480,25321000,4292000.0,No Pedestrian Involved,1,0.0
481,32859000,184101.0,No Pedestrian Involved,1,0.0
482,27510000,,No Pedestrian Involved,1,0.0
483,33725000,930201.0,No Pedestrian Involved,1,0.0
484,24450000,,No Pedestrian Involved,1,0.0
485,34016000,8747202.0,No Pedestrian Involved,1,0.0
486,27533000,1216000.0,No Pedestrian Involved,1,0.0
487,21496000,9186000.0,Not in Road,1,0.0
488,27487000,673000.0,Not Stated,1,0.0
489,27501000,6075201.0,Not in Road,1,0.0
490,26345000,8852000.0,No Pedestrian Involved,1,0.0
491,26042000,5887000.0,Not Stated,1,0.0
492,24201000,414000.0,No Pedestrian Involved,1,0.0
493,26704000,9697000.0,No Pedestrian Involved,1,0.0
494,20157000,10220000.0,No Pedestrian Involved,1,0.0
495,27854000,,No Pedestrian Involved,1,0.0
496,26034000,,No Pedestrian Involved,1,0.0
497,28006000,2692000.0,No Pedestrian Involved,1,0.0
498,27619000,,Not Stated,2,0.0
499,27566000,,No Pedestrian Involved,1,0.0
